municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;sensor;valorMedida
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 00:00:00.0;umidade_solo_nivel6;37,41
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 00:00:00.0;umidade_solo_nivel5;31,75
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 00:00:00.0;umidade_solo_nivel4;32,90
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 00:00:00.0;umidade_solo_nivel3;31,05
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 00:00:00.0;umidade_solo_nivel2;32,83
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 00:00:00.0;umidade_solo_nivel1;28,35
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 00:10:00.0;chuva;0,00
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 01:00:00.0;umidade_solo_nivel6;37,40
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 01:00:00.0;umidade_solo_nivel5;31,73
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 01:00:00.0;umidade_solo_nivel4;32,89
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 01:00:00.0;umidade_solo_nivel3;31,04
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 01:00:00.0;umidade_solo_nivel2;32,81
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 01:00:00.0;umidade_solo_nivel1;28,32
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 01:10:00.0;chuva;0,00
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 02:00:00.0;umidade_solo_nivel6;37,39
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 02:00:00.0;umidade_solo_nivel5;31,71
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 02:00:00.0;umidade_solo_nivel4;32,88
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 02:00:00.0;umidade_solo_nivel3;31,03
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 02:00:00.0;umidade_solo_nivel2;32,80
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 02:00:00.0;umidade_solo_nivel1;28,30
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 02:10:00.0;chuva;0,00
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 03:00:00.0;umidade_solo_nivel6;37,37
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 03:00:00.0;umidade_solo_nivel5;31,69
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 03:00:00.0;umidade_solo_nivel4;32,88
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 03:00:00.0;umidade_solo_nivel3;31,01
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 03:00:00.0;umidade_solo_nivel2;32,78
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 03:00:00.0;umidade_solo_nivel1;28,28
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 03:10:00.0;chuva;0,00
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 04:00:00.0;umidade_solo_nivel6;37,36
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 04:00:00.0;umidade_solo_nivel5;31,66
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 04:00:00.0;umidade_solo_nivel4;32,87
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 04:00:00.0;umidade_solo_nivel3;31,00
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 04:00:00.0;umidade_solo_nivel2;32,76
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 04:00:00.0;umidade_solo_nivel1;28,26
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 04:10:00.0;chuva;0,00
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 05:00:00.0;umidade_solo_nivel6;37,34
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 05:00:00.0;umidade_solo_nivel5;31,64
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 05:00:00.0;umidade_solo_nivel4;32,86
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 05:00:00.0;umidade_solo_nivel3;30,98
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 05:00:00.0;umidade_solo_nivel2;32,75
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 05:00:00.0;umidade_solo_nivel1;28,24
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 05:10:00.0;chuva;0,00
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 06:00:00.0;umidade_solo_nivel6;37,32
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 06:00:00.0;umidade_solo_nivel5;31,62
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 06:00:00.0;umidade_solo_nivel4;32,85
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 06:00:00.0;umidade_solo_nivel3;30,97
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 06:00:00.0;umidade_solo_nivel2;32,73
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 06:00:00.0;umidade_solo_nivel1;28,23
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 06:10:00.0;chuva;0,00
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 07:00:00.0;umidade_solo_nivel6;37,30
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 07:00:00.0;umidade_solo_nivel5;31,59
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 07:00:00.0;umidade_solo_nivel4;32,84
CAMPOS DO JORDÃO;350970001G;SP;Jd. Frei Orestes;-22,73986;-45,5985;2023-01-01 07:00:00.0;umidade_solo_nivel3;30,96
